borough,population,green_area_sqm,total_greening,ndvi_2025,green_sqm_per_person
Barking and Dagenham,218870,36085288.89184462,0.0041049932235886185,0.3541619478958377,164.87087719579944
Barnet,389347,86752646.112499,-0.04914164629063779,0.40597372438917356,222.8157559002612
Bexley,246474,60541592.008513905,-0.03449201320813569,0.3966082345066694,245.63074404811016
Brent,339813,43231509.57344553,-0.025655961476279895,0.34361723186832593,127.22147055423285
Brentwood,77047,146920229.58634868,0.03922280658748715,0.5339154228843918,1906.8909832485194
Bromley,330000,150148430.1929068,-0.028281281978056894,0.46439562206760954,454.9952430088085
Camden,210140,21791671.606825575,-0.08319181204830173,0.2759491200902271,103.70073097375833
City of London,8583,2892655.2439856413,-0.006723205254011627,0.09924322316418678,337.02146615235245
Croydon,390724,86536773.88052693,-0.0581036049869233,0.40574040046685816,221.47800974735858
Ealing,367114,55527666.78459775,-0.03275787961249251,0.3669785608201199,151.25456066670773
Enfield,329981,82204085.49885146,-0.015138244981251122,0.380682208337648,249.1176325268772
Greenwich,289070,47322921.43582592,-0.019879080310081575,0.37434560874885114,163.70748066498052
Hackney,259144,19066567.5162616,-0.044944818552766365,0.2938797979792593,73.57518413029666
Hammersmith and Fulham,183155,16411158.797497474,-0.05297774779423504,0.2523842594915332,89.6025704867324
Haringey,264241,29584872.4108841,-0.0600556481113124,0.32834732584369264,111.96170318339736
Harrow,261200,50473451.047168665,-0.036734587359114806,0.41503798427774913,193.23679573954314
Havering,262054,112363955.93427067,-0.00493219846351145,0.4400566382974308,428.7816859665209
Hillingdon,305911,115706431.38050403,-0.02852859964696279,0.4424360647164229,378.2356024481108
Hounslow,288187,55958704.09883868,-0.019434946069850082,0.3979461733981612,194.17497700742462
Islington,216586,14863852.400677688,-0.09255341520343435,0.2643203216999485,68.62794640779039
Kensington and Chelsea,143373,12139168.797944585,-0.07530948861012611,0.2417121668257412,84.66844383492418
Kingston upon Thames,168063,37235063.013449,-0.04438120408564636,0.4068308310886148,221.55419701807654
Lambeth,317654,26826509.283708237,-0.04699880606271688,0.3077655394294064,84.45198009062766
Lewisham,300552,35160633.4084261,0.007255226595956963,0.3594702262840331,116.98685554721345
Merton,215182,37635659.59195134,-0.03893324028024944,0.3856021415078561,174.9015233242155
Newham,351037,36232767.73034879,-0.029635513656308204,0.2694077030561747,103.2163781320738
Redbridge,310255,56386831.568187155,-0.01782156988169372,0.3673246220469499,181.74350636794622
Richmond upon Thames,195277,57327515.88071936,-0.04741203761378192,0.4426820816062214,293.5702406362212
Southwark,307641,28849133.566996787,-0.016669041438850528,0.2952971282357027,93.77532112753758
Sutton,209642,43849615.224584684,-0.04409795751075163,0.4162546370478773,209.16426681955278
Tower Hamlets,310307,19739311.342480414,-0.016126875556869456,0.23475616321012893,63.612201279637304
Waltham Forest,278426,38809167.769574836,-0.04320345613707792,0.34138700375070913,139.38772876661963
Wandsworth,327506,34249386.829614945,-0.050611287645889,0.3239539225626399,104.57636449290989
Westminster,204233,21464795.89829971,-0.0683343219707321,0.22154920224883215,105.09954756723795
